KEGGgene	Module	Organism
reh:H16_A3141	md:reh_M00016	Cupriavidus
reh:H16_A3348	md:reh_M00016	Cupriavidus
reh:H16_A2066	md:reh_M00016	Cupriavidus
reh:H16_A3025	md:reh_M00016	Cupriavidus
reh:H16_A2065	md:reh_M00016	Cupriavidus
reh:H16_A2069	md:reh_M00016	Cupriavidus
reh:H16_A0227	md:reh_M00016	Cupriavidus
reh:H16_A3443	md:reh_M00016	Cupriavidus
reh:PHG121	md:reh_M00016	Cupriavidus
reh:H16_A1225	md:reh_M00017	Cupriavidus
reh:H16_A2618	md:reh_M00017	Cupriavidus
reh:H16_A2266	md:reh_M00017	Cupriavidus
reh:H16_A0211	md:reh_M00017	Cupriavidus
reh:H16_A1447	md:reh_M00017	Cupriavidus
reh:H16_A0151	md:reh_M00017	Cupriavidus
reh:H16_A0150	md:reh_M00017	Cupriavidus
reh:H16_B1581	md:reh_M00017	Cupriavidus
reh:H16_A1225	md:reh_M00018	Cupriavidus
reh:H16_A2618	md:reh_M00018	Cupriavidus
reh:H16_A2266	md:reh_M00018	Cupriavidus
reh:H16_A2744	md:reh_M00018	Cupriavidus
reh:H16_A2265	md:reh_M00018	Cupriavidus
reh:H16_B0301	md:reh_M00018	Cupriavidus
reh:H16_A1035	md:reh_M00019	Cupriavidus
reh:H16_B0313	md:reh_M00019	Cupriavidus
reh:H16_A2231	md:reh_M00019	Cupriavidus
reh:H16_B0589	md:reh_M00019	Cupriavidus
reh:H16_B0735	md:reh_M00019	Cupriavidus
reh:H16_B2452	md:reh_M00019	Cupriavidus
reh:H16_A1036	md:reh_M00019	Cupriavidus
reh:H16_A1037	md:reh_M00019	Cupriavidus
reh:H16_A2987	md:reh_M00019	Cupriavidus
reh:H16_B0280	md:reh_M00019	Cupriavidus
reh:H16_A0561	md:reh_M00019	Cupriavidus
reh:H16_B0824	md:reh_M00020	Cupriavidus
reh:H16_B0841	md:reh_M00020	Cupriavidus
reh:H16_B1819	md:reh_M00020	Cupriavidus
reh:H16_A3712	md:reh_M00020	Cupriavidus
reh:H16_B0347	md:reh_M00020	Cupriavidus
reh:H16_A0791	md:reh_M00020	Cupriavidus
reh:H16_A1452	md:reh_M00020	Cupriavidus
reh:H16_A1216	md:reh_M00021	Cupriavidus
reh:H16_A1903	md:reh_M00021	Cupriavidus
reh:H16_B2378	md:reh_M00021	Cupriavidus
reh:H16_A1122	md:reh_M00022	Cupriavidus
reh:H16_B1076	md:reh_M00022	Cupriavidus
reh:H16_A3434	md:reh_M00022	Cupriavidus
reh:H16_A3170	md:reh_M00022	Cupriavidus
reh:H16_B0465	md:reh_M00022	Cupriavidus
reh:H16_A3161	md:reh_M00022	Cupriavidus
reh:H16_A3435	md:reh_M00022	Cupriavidus
reh:H16_A0795	md:reh_M00022	Cupriavidus
reh:H16_A1317	md:reh_M00022	Cupriavidus
reh:H16_A3319	md:reh_M00023	Cupriavidus
reh:H16_A3320	md:reh_M00023	Cupriavidus
reh:H16_A0356	md:reh_M00023	Cupriavidus
reh:H16_A3321	md:reh_M00023	Cupriavidus
