KEGGgene	EC	Organism
reh:H16_A2038	ec:2.7.9.2	Cupriavidus
reh:H16_A2265	ec:4.2.3.1	Cupriavidus
reh:H16_A2266	ec:1.1.1.3	Cupriavidus
reh:H16_A2281	ec:3.4.21.88	Cupriavidus
reh:H16_A2300	ec:3.4.13.21	Cupriavidus
reh:H16_A2321	ec:7.2.2.9	Cupriavidus
reh:H16_A2323	ec:1.8.1.4	Cupriavidus
reh:H16_A2324	ec:2.3.1.61	Cupriavidus
reh:H16_A2325	ec:1.2.4.2	Cupriavidus
reh:H16_A2326	ec:3.1.4.46	Cupriavidus
reh:H16_A2346	ec:2.2.1.2	Cupriavidus
reh:H16_A2354	ec:6.3.4.4	Cupriavidus
reh:H16_A2368	ec:2.7.4.6	Cupriavidus
reh:H16_A2375	ec:2.1.1.77	Cupriavidus
reh:H16_A2377	ec:1.6.5.5	Cupriavidus
reh:H16_A0147	ec:3.1.1.24	Cupriavidus
reh:H16_A2385	ec:4.1.3.4	Cupriavidus
reh:H16_A2403	ec:6.1.1.17	Cupriavidus
reh:H16_A2410	ec:1.3.1.9	Cupriavidus
reh:H16_A2410	ec:1.3.1.10	Cupriavidus
reh:H16_A2422	ec:5.5.1.2	Cupriavidus
reh:H16_A2437	ec:2.7.4.1	Cupriavidus
reh:H16_A0340	ec:2.1.1.197	Cupriavidus
reh:H16_A2446	ec:2.5.1.15	Cupriavidus
reh:H16_A2461	ec:1.14.13.40	Cupriavidus
reh:H16_A2462	ec:6.2.1.17	Cupriavidus
reh:H16_A2464	ec:3.1.2.6	Cupriavidus
reh:H16_A2488	ec:2.7.7.49	Cupriavidus
reh:H16_A2505	ec:3.5.1.10	Cupriavidus
reh:H16_A2507	ec:2.7.1.30	Cupriavidus
reh:H16_A2521	ec:2.6.1.21	Cupriavidus
reh:H16_A2525	ec:6.2.1.1	Cupriavidus
reh:H16_A2529	ec:5.1.1.3	Cupriavidus
reh:H16_A1963	ec:1.14.12.10	Cupriavidus
reh:H16_A1962	ec:1.14.12.10	Cupriavidus
reh:H16_A2961	ec:6.3.5.10	Cupriavidus
reh:H16_B0198	ec:2.8.3.6	Cupriavidus
reh:H16_A1000	ec:3.4.11.2	Cupriavidus
reh:H16_A1002	ec:1.1.1.40	Cupriavidus
reh:H16_A1013	ec:3.5.4.3	Cupriavidus
reh:H16_A1027	ec:2.7.1.107	Cupriavidus
reh:H16_A1037	ec:1.1.1.86	Cupriavidus
reh:H16_A1038	ec:4.1.1.65	Cupriavidus
reh:H16_A1041	ec:2.3.3.13	Cupriavidus
reh:H16_A1045	ec:2.7.7.8	Cupriavidus
reh:H16_A1047	ec:5.3.1.1	Cupriavidus
reh:H16_A0787	ec:2.1.1.222	Cupriavidus
reh:H16_A0787	ec:2.1.1.64	Cupriavidus
reh:H16_A1098	ec:2.3.2.2	Cupriavidus
reh:H16_A1098	ec:3.4.19.13	Cupriavidus
reh:H16_A1103	ec:2.5.1.18	Cupriavidus
reh:H16_A1122	ec:2.5.1.54	Cupriavidus
reh:H16_A1132	ec:2.7.1.23	Cupriavidus
reh:H16_A1134	ec:4.99.1.1	Cupriavidus
reh:H16_A1134	ec:4.99.1.9	Cupriavidus
reh:H16_A1151	ec:2.6.1.57	Cupriavidus
reh:H16_A1155	ec:3.1.3.48	Cupriavidus
reh:H16_A1158	ec:2.8.1.7	Cupriavidus
reh:H16_A1178	ec:4.2.1.12	Cupriavidus
reh:H16_A1179	ec:2.7.1.12	Cupriavidus
reh:H16_A1186	ec:2.5.1.55	Cupriavidus
reh:H16_A1188	ec:4.2.1.11	Cupriavidus
reh:H16_A1199	ec:1.8.1.9	Cupriavidus
reh:H16_A1204	ec:4.3.3.7	Cupriavidus
reh:H16_A0791	ec:2.6.1.52	Cupriavidus
reh:H16_A1214	ec:3.1.3.25	Cupriavidus
reh:H16_B1367	ec:1.3.8.7	Cupriavidus
reh:H16_B1369	ec:2.3.1.9	Cupriavidus
reh:H16_A2551	ec:2.7.8.7	Cupriavidus
reh:H16_A2557	ec:3.4.21.89	Cupriavidus
reh:H16_A2567	ec:1.1.1.100	Cupriavidus
reh:H16_A2568	ec:2.3.1.39	Cupriavidus
reh:H16_A2589	ec:6.3.4.21	Cupriavidus
reh:H16_A2592	ec:1.8.1.9	Cupriavidus
reh:H16_A2596	ec:1.3.8.7	Cupriavidus
reh:H16_A2607	ec:2.4.2.14	Cupriavidus
reh:H16_A2615	ec:5.3.1.24	Cupriavidus
reh:H16_A2618	ec:1.2.1.11	Cupriavidus
reh:H16_A2619	ec:1.1.1.85	Cupriavidus
reh:H16_A2627	ec:2.3.3.1	Cupriavidus
reh:H16_A2636	ec:2.3.3.5	Cupriavidus
reh:H16_A2643	ec:2.5.1.16	Cupriavidus
reh:H16_A2647	ec:2.5.1.16	Cupriavidus
reh:H16_B1389	ec:2.7.1.19	Cupriavidus
reh:H16_B1391	ec:5.1.3.1	Cupriavidus
reh:H16_B1410	ec:1.11.1.10	Cupriavidus
reh:H16_B1418	ec:1.13.11.11	Cupriavidus
reh:H16_B1422	ec:1.8.1.9	Cupriavidus
reh:H16_B1441	ec:3.1.1.17	Cupriavidus
reh:H16_B1501	ec:1.1.1.49	Cupriavidus
reh:H16_B1501	ec:1.1.1.363	Cupriavidus
reh:H16_B1502	ec:5.3.1.9	Cupriavidus
reh:H16_B1503	ec:2.7.1.4	Cupriavidus
reh:H16_B1533	ec:1.14.11.17	Cupriavidus
reh:H16_B1534	ec:1.2.1.3	Cupriavidus
reh:H16_B1537	ec:1.2.1.16	Cupriavidus
reh:H16_B1537	ec:1.2.1.79	Cupriavidus
reh:H16_B1537	ec:1.2.1.20	Cupriavidus
reh:H16_B1558	ec:5.4.99.16	Cupriavidus
