KEGGgene	EC	Organism
syf:Synpcc7942_1963	ec:3.4.17.13	Synechococcus
syf:Synpcc7942_1230	ec:2.5.1.145	Synechococcus
syf:Synpcc7942_0203	ec:3.5.4.26	Synechococcus
syf:Synpcc7942_0203	ec:1.1.1.193	Synechococcus
syf:Synpcc7942_0608	ec:1.13.11.53	Synechococcus
syf:Synpcc7942_0608	ec:1.13.11.54	Synechococcus
syf:Synpcc7942_1807	ec:3.6.1.55	Synechococcus
syf:Synpcc7942_0777	ec:1.5.1.5	Synechococcus
syf:Synpcc7942_0777	ec:3.5.4.9	Synechococcus
syf:Synpcc7942_0492	ec:2.7.1.26	Synechococcus
syf:Synpcc7942_0492	ec:2.7.7.2	Synechococcus
syf:Synpcc7942_0505	ec:3.1.3.11	Synechococcus
syf:Synpcc7942_0505	ec:3.1.3.37	Synechococcus
syf:Synpcc7942_1850	ec:2.1.1.132	Synechococcus
syf:Synpcc7942_1850	ec:2.1.1.289	Synechococcus
syf:Synpcc7942_1850	ec:2.1.1.196	Synechococcus
syf:Synpcc7942_1738	ec:2.8.1.7	Synechococcus
syf:Synpcc7942_1738	ec:4.4.1.16	Synechococcus
syf:Synpcc7942_0271	ec:2.1.1.107	Synechococcus
syf:Synpcc7942_B2661	ec:2.8.1.7	Synechococcus
syf:Synpcc7942_B2661	ec:4.4.1.16	Synechococcus
syf:Synpcc7942_0345	ec:6.3.4.15	Synechococcus
syf:Synpcc7942_0686	ec:2.5.1.147	Synechococcus
syf:Synpcc7942_1586	ec:2.7.13.3	Synechococcus
syf:Synpcc7942_0944	ec:6.3.2.12	Synechococcus
syf:Synpcc7942_0944	ec:6.3.2.17	Synechococcus
syf:Synpcc7942_2610	ec:2.1.1.107	Synechococcus
syf:Synpcc7942_0892	ec:4.3.1.32	Synechococcus
syf:Synpcc7942_1844	ec:1.7.1.13	Synechococcus
syf:Synpcc7942_1151	ec:6.3.2.1	Synechococcus
syf:Synpcc7942_1151	ec:2.7.4.25	Synechococcus
syf:Synpcc7942_1931	ec:3.1.3.16	Synechococcus
syf:Synpcc7942_0292	ec:4.1.1.36	Synechococcus
syf:Synpcc7942_0292	ec:6.3.2.5	Synechococcus
syf:Synpcc7942_2047	ec:1.4.4.2	Synechococcus
syf:Synpcc7942_1896	ec:2.3.1.35	Synechococcus
syf:Synpcc7942_1896	ec:2.3.1.1	Synechococcus
syf:Synpcc7942_1573	ec:1.1.1.47	Synechococcus
syf:Synpcc7942_0459	ec:1.1.1.284	Synechococcus
syf:Synpcc7942_0459	ec:1.1.1.1	Synechococcus
syf:Synpcc7942_1656	ec:1.11.1.21	Synechococcus
syf:Synpcc7942_0278	ec:7.1.1.2	Synechococcus
syf:Synpcc7942_0846	ec:5.1.3.15	Synechococcus
syf:Synpcc7942_2160	ec:2.6.1.44	Synechococcus
syf:Synpcc7942_2160	ec:2.6.1.45	Synechococcus
syf:Synpcc7942_2160	ec:2.6.1.51	Synechococcus
syf:Synpcc7942_0205	ec:2.7.7.1	Synechococcus
syf:Synpcc7942_2362	ec:2.5.1.84	Synechococcus
syf:Synpcc7942_2362	ec:2.5.1.85	Synechococcus
syf:Synpcc7942_0776	ec:2.5.1.1	Synechococcus
syf:Synpcc7942_0776	ec:2.5.1.10	Synechococcus
syf:Synpcc7942_0776	ec:2.5.1.29	Synechococcus
syf:Synpcc7942_0029	ec:2.1.1.197	Synechococcus
syf:Synpcc7942_0458	ec:3.1.2.12	Synechococcus
syf:Synpcc7942_2274	ec:6.6.1.1	Synechococcus
syf:Synpcc7942_1853	ec:2.1.1.130	Synechococcus
syf:Synpcc7942_1853	ec:2.1.1.151	Synechococcus
syf:Synpcc7942_2195	ec:4.6.1.1	Synechococcus
syf:Synpcc7942_1593	ec:4.1.99.5	Synechococcus
syf:Synpcc7942_1594	ec:1.2.1.80	Synechococcus
syf:Synpcc7942_2512	ec:2.8.4.4	Synechococcus
syf:Synpcc7942_2379	ec:2.7.1.49	Synechococcus
syf:Synpcc7942_2379	ec:2.7.4.7	Synechococcus
syf:Synpcc7942_1965	ec:3.6.1.11	Synechococcus
syf:Synpcc7942_1965	ec:3.6.1.40	Synechococcus
syf:Synpcc7942_1432	ec:4.1.99.12	Synechococcus
syf:Synpcc7942_1432	ec:3.5.4.25	Synechococcus
syf:Synpcc7942_1082	ec:7.2.2.10	Synechococcus
syf:Synpcc7942_1689	ec:2.8.1.1	Synechococcus
syf:Synpcc7942_1689	ec:2.8.1.2	Synechococcus
syf:Synpcc7942_0756	ec:3.2.1.17	Synechococcus
syf:Synpcc7942_0241	ec:2.1.1.190	Synechococcus
syf:Synpcc7942_0660	ec:1.3.1.78	Synechococcus
syf:Synpcc7942_0279	ec:7.1.1.2	Synechococcus
syf:Synpcc7942_0413	ec:7.1.1.2	Synechococcus
syf:Synpcc7942_0652	ec:5.5.1.19	Synechococcus
syf:Synpcc7942_1237	ec:7.3.2.4	Synechococcus
syf:Synpcc7942_0196	ec:1.13.11.75	Synechococcus
syf:Synpcc7942_0469	ec:5.4.2.12	Synechococcus
syf:Synpcc7942_0173	ec:3.1.3.7	Synechococcus
syf:Synpcc7942_1608	ec:2.7.7.13	Synechococcus
syf:Synpcc7942_1608	ec:5.3.1.8	Synechococcus
syf:Synpcc7942_0028	ec:3.1.1.85	Synechococcus
syf:Synpcc7942_0965	ec:3.1.3.7	Synechococcus
syf:Synpcc7942_0149	ec:2.1.1.63	Synechococcus
syf:Synpcc7942_0996	ec:2.7.1.31	Synechococcus
syf:Synpcc7942_B2620	ec:1.11.1.6	Synechococcus
syf:Synpcc7942_2105	ec:7.3.2.4	Synechococcus
syf:Synpcc7942_0976	ec:2.7.7.72	Synechococcus
syf:Synpcc7942_0791	ec:2.7.7.72	Synechococcus
syf:Synpcc7942_2317	ec:7.2.2.9	Synechococcus
syf:Synpcc7942_0281	ec:2.7.8.33	Synechococcus
syf:Synpcc7942_0281	ec:2.7.8.35	Synechococcus
syf:Synpcc7942_0498	ec:2.7.7.13	Synechococcus
syf:Synpcc7942_0498	ec:5.4.2.8	Synechococcus
syf:Synpcc7942_0854	ec:3.2.1.45	Synechococcus
syf:Synpcc7942_1570	ec:7.2.2.8	Synechococcus
syf:Synpcc7942_1603	ec:3.5.2.6	Synechococcus
syf:Synpcc7942_0290	ec:1.3.5.2	Synechococcus
syf:Synpcc7942_2556	ec:1.12.1.2	Synechococcus
syf:Synpcc7942_0132	ec:1.6.3.5	Synechococcus
syf:Synpcc7942_2555	ec:1.12.1.2	Synechococcus
syf:Synpcc7942_0056	ec:2.6.1.102	Synechococcus
syf:Synpcc7942_1672	ec:3.4.17.14	Synechococcus
syf:Synpcc7942_0280	ec:3.5.1.42	Synechococcus
syf:Synpcc7942_0206	ec:2.4.2.12	Synechococcus
syf:Synpcc7942_0596	ec:2.1.1.295	Synechococcus
syf:Synpcc7942_1043	ec:2.7.1.182	Synechococcus
syf:Synpcc7942_1651	ec:2.4.1.187	Synechococcus
syf:Synpcc7942_1734	ec:1.8.7.2	Synechococcus
syf:Synpcc7942_0785	ec:2.4.1.129	Synechococcus
syf:Synpcc7942_0785	ec:3.4.16.4	Synechococcus
syf:Synpcc7942_0530	ec:1.17.99.6	Synechococcus
syf:Synpcc7942_1083	ec:2.4.1.336	Synechococcus
syf:Synpcc7942_1889	ec:2.4.1.18	Synechococcus
syf:Synpcc7942_2080	ec:4.1.2.9	Synechococcus
syf:Synpcc7942_2080	ec:4.1.2.22	Synechococcus
syf:Synpcc7942_1149	ec:4.1.1.35	Synechococcus
syf:Synpcc7942_1386	ec:2.5.1.17	Synechococcus
syf:Synpcc7942_0957	ec:2.5.1.17	Synechococcus
syf:Synpcc7942_1856	ec:3.5.4.33	Synechococcus
syf:Synpcc7942_2373	ec:5.1.1.20	Synechococcus
syf:Synpcc7942_0706	ec:2.1.1.196	Synechococcus
syf:Synpcc7942_0861	ec:5.1.3.34	Synechococcus
syf:Synpcc7942_0600	ec:2.7.11.1	Synechococcus
syf:Synpcc7942_0086	ec:3.2.1.68	Synechococcus
syf:Synpcc7942_1005	ec:3.1.3.10	Synechococcus
syf:Synpcc7942_0592	ec:2.7.1.11	Synechococcus
syf:Synpcc7942_0592	ec:2.7.1.90	Synechococcus
syf:Synpcc7942_0943	ec:2.6.1.11	Synechococcus
syf:Synpcc7942_0943	ec:2.6.1.17	Synechococcus
syf:Synpcc7942_1359	ec:1.3.7.13	Synechococcus
syf:Synpcc7942_0158	ec:2.7.7.80	Synechococcus
syf:Synpcc7942_0158	ec:2.8.1.11	Synechococcus
syf:Synpcc7942_1858	ec:1.14.15.20	Synechococcus
syf:Synpcc7942_2462	ec:2.7.1.47	Synechococcus
syf:Synpcc7942_0946	ec:1.4.3.25	Synechococcus
syf:Synpcc7942_2543	ec:3.2.2.27	Synechococcus
syf:Synpcc7942_2339	ec:2.7.1.167	Synechococcus
syf:Synpcc7942_0702	ec:3.13.1.8	Synechococcus
syf:Synpcc7942_1273	ec:4.2.1.136	Synechococcus
syf:Synpcc7942_1273	ec:5.1.99.6	Synechococcus
syf:Synpcc7942_2600	ec:2.5.1.141	Synechococcus
syf:Synpcc7942_0091	ec:4.1.3.40	Synechococcus
syf:Synpcc7942_0485	ec:3.1.3.3	Synechococcus
syf:Synpcc7942_1259	ec:7.3.2.7	Synechococcus
syf:Synpcc7942_2358	ec:3.5.1.128	Synechococcus
syf:Synpcc7942_1877	ec:2.3.2.13	Synechococcus
syf:Synpcc7942_0070	ec:1.4.3.5	Synechococcus
syf:Synpcc7942_1135	ec:4.3.2.7	Synechococcus
syf:Synpcc7942_0371	ec:2.3.1.46	Synechococcus
syf:Synpcc7942_0371	ec:2.3.1.31	Synechococcus
syf:Synpcc7942_1714	ec:2.3.1.31	Synechococcus
syf:Synpcc7942_1714	ec:2.3.1.46	Synechococcus
syf:Synpcc7942_1099	ec:2.1.1.329	Synechococcus
syf:Synpcc7942_1366	ec:2.5.1.130	Synechococcus
syf:Synpcc7942_2508	ec:1.6.5.12	Synechococcus
syf:Synpcc7942_2561	ec:1.14.19.28	Synechococcus
syf:Synpcc7942_0003	ec:6.3.5.3	Synechococcus
syf:Synpcc7942_0819	ec:6.3.5.3	Synechococcus
syf:Synpcc7942_0819	ec:3.5.1.2	Synechococcus
syf:Synpcc7942_0818	ec:6.3.5.3	Synechococcus
syf:Synpcc7942_1377	ec:2.7.6.5	Synechococcus
syf:Synpcc7942_1377	ec:3.1.7.2	Synechococcus
syf:Synpcc7942_0493	ec:2.7.4.33	Synechococcus
syf:Synpcc7942_2034	ec:2.4.1.173	Synechococcus
syf:Synpcc7942_0414	ec:2.8.1.16	Synechococcus
syf:Synpcc7942_0105	ec:6.3.5.1	Synechococcus
syf:Synpcc7942_1696	ec:1.13.11.24	Synechococcus
syf:Synpcc7942_1309	ec:1.5.1.54	Synechococcus
syf:Synpcc7942_1884	ec:2.7.7.70	Synechococcus
syf:Synpcc7942_B2643	ec:4.2.1.103	Synechococcus
syf:Synpcc7942_2449	ec:1.11.1.24	Synechococcus
syf:Synpcc7942_2371	ec:2.3.1.129	Synechococcus
syf:Synpcc7942_2597	ec:4.6.1.1	Synechococcus
syf:Synpcc7942_2111	ec:2.7.1.2	Synechococcus
syn:sll1662	ec:4.2.1.51	Synechocystis
syn:sll0945	ec:2.4.1.21	Synechocystis
syn:sll1018	ec:3.5.2.3	Synechocystis
syn:sll1019	ec:3.1.2.6	Synechocystis
syn:sll1023	ec:6.2.1.5	Synechocystis
syn:sll1035	ec:2.4.2.9	Synechocystis
syn:sll1043	ec:2.7.7.8	Synechocystis
syn:sll1051	ec:4.4.1.32	Synechocystis
syn:sll1054	ec:3.6.1.13	Synechocystis
syn:sll1058	ec:1.17.1.8	Synechocystis
syn:sll1059	ec:2.7.4.3	Synechocystis
syn:sll1070	ec:2.2.1.1	Synechocystis
syn:sll1074	ec:6.1.1.4	Synechocystis
syn:sll1077	ec:3.5.3.11	Synechocystis
syn:sll1085	ec:1.1.5.3	Synechocystis
syn:sll1127	ec:4.1.3.36	Synechocystis
syn:sll1138	ec:5.4.2.6	Synechocystis
syn:sll1147	ec:2.5.1.18	Synechocystis
syn:sll1161	ec:4.6.1.1	Synechocystis
syn:sll1198	ec:2.1.1.228	Synechocystis
syn:sll1209	ec:6.5.1.2	Synechocystis
syn:sll1212	ec:4.2.1.47	Synechocystis
syn:sll1234	ec:3.3.1.1	Synechocystis
syn:sll1237	ec:2.1.1.297	Synechocystis
syn:sll1258	ec:3.5.4.13	Synechocystis
syn:sll1275	ec:2.7.1.40	Synechocystis
syn:sll1290	ec:3.1.13.1	Synechocystis
syn:sll1298	ec:3.1.1.45	Synechocystis
syn:sll1299	ec:2.7.2.1	Synechocystis
syn:sll1342	ec:1.2.1.59	Synechocystis
syn:sll1349	ec:3.1.3.18	Synechocystis
syn:sll1356	ec:2.4.1.1	Synechocystis
syn:sll1360	ec:2.7.7.7	Synechocystis
syn:sll1362	ec:6.1.1.5	Synechocystis
syn:sll1363	ec:1.1.1.86	Synechocystis
syn:sll1370	ec:2.7.7.13	Synechocystis
syn:sll1383	ec:3.1.3.25	Synechocystis
syn:sll1393	ec:2.4.1.21	Synechocystis
syn:sll1395	ec:1.1.1.133	Synechocystis
syn:sll1415	ec:2.7.1.23	Synechocystis
syn:sll1425	ec:6.1.1.15	Synechocystis
syn:sll1430	ec:2.4.2.7	Synechocystis
syn:sll1435	ec:6.3.5.6	Synechocystis
syn:sll1435	ec:6.3.5.7	Synechocystis
syn:sll1440	ec:1.4.3.5	Synechocystis
syn:sll1443	ec:6.3.4.2	Synechocystis
syn:sll1444	ec:4.2.1.33	Synechocystis
syn:sll1444	ec:4.2.1.35	Synechocystis
syn:sll1470	ec:4.2.1.33	Synechocystis
syn:sll1470	ec:4.2.1.35	Synechocystis
syn:sll1479	ec:3.1.1.31	Synechocystis
syn:sll1498	ec:6.3.5.5	Synechocystis
syn:sll1499	ec:1.4.7.1	Synechocystis
syn:sll1508	ec:3.5.1.108	Synechocystis
syn:sll1522	ec:2.7.8.5	Synechocystis
syn:sll1525	ec:2.7.1.19	Synechocystis
syn:sll1540	ec:2.4.1.83	Synechocystis
syn:sll1541	ec:1.13.11.75	Synechocystis
syn:sll1545	ec:2.5.1.18	Synechocystis
syn:sll1555	ec:2.7.13.3	Synechocystis
syn:sll1556	ec:5.3.3.2	Synechocystis
syn:sll1557	ec:6.2.1.5	Synechocystis
syn:sll1558	ec:2.7.7.13	Synechocystis
syn:sll1590	ec:2.7.13.3	Synechocystis
syn:sll1605	ec:4.2.1.59	Synechocystis
syn:sll1626	ec:3.4.21.88	Synechocystis
syn:sll1629	ec:4.1.99.3	Synechocystis
syn:sll1641	ec:4.1.1.15	Synechocystis
syn:sll1669	ec:2.7.1.71	Synechocystis
syn:sll1676	ec:2.4.1.25	Synechocystis
syn:sll1682	ec:1.4.1.1	Synechocystis
syn:sll1709	ec:1.1.1.47	Synechocystis
syn:sll1721	ec:1.2.4.1	Synechocystis
syn:sll1750	ec:3.5.1.5	Synechocystis
syn:sll1776	ec:4.1.2.4	Synechocystis
syn:sll1787	ec:2.7.7.6	Synechocystis
syn:sll1789	ec:2.7.7.6	Synechocystis
syn:sll1815	ec:2.7.4.3	Synechocystis
syn:sll1818	ec:2.7.7.6	Synechocystis
syn:sll1823	ec:6.3.4.4	Synechocystis
syn:sll1841	ec:2.3.1.12	Synechocystis
syn:sll1848	ec:2.3.1.51	Synechocystis
syn:sll1852	ec:2.7.4.6	Synechocystis
syn:sll1854	ec:3.1.11.2	Synechocystis
syn:sll1867	ec:1.10.3.9	Synechocystis
syn:sll1868	ec:2.7.7.101	Synechocystis
syn:sll1871	ec:2.7.13.3	Synechocystis
syn:sll1878	ec:7.2.2.7	Synechocystis
syn:slr0500	ec:4.2.1.19	Synechocystis
syn:slr0506	ec:1.3.1.33	Synechocystis
syn:slr0523	ec:6.3.3.3	Synechocystis
syn:slr0526	ec:2.1.2.11	Synechocystis
syn:slr0528	ec:6.3.2.13	Synechocystis
syn:slr0536	ec:4.1.1.37	Synechocystis
syn:slr0542	ec:3.4.21.92	Synechocystis
syn:slr0543	ec:4.2.1.20	Synechocystis
syn:slr0546	ec:4.1.1.48	Synechocystis
syn:slr0549	ec:1.2.1.11	Synechocystis
syn:slr0550	ec:4.3.3.7	Synechocystis
syn:slr0553	ec:2.7.1.24	Synechocystis
syn:slr0557	ec:6.1.1.9	Synechocystis
syn:slr0585	ec:6.3.4.5	Synechocystis
syn:slr0591	ec:1.17.4.1	Synechocystis
syn:slr0596	ec:3.5.2.10	Synechocystis
syn:slr0618	ec:6.3.5.10	Synechocystis
syn:slr0624	ec:5.1.3.14	Synechocystis
syn:slr0633	ec:2.8.1.10	Synechocystis
syn:slr0636	ec:2.7.8.26	Synechocystis
syn:slr0638	ec:6.1.1.14	Synechocystis
syn:slr0652	ec:5.3.1.16	Synechocystis
syn:slr0657	ec:2.7.2.4	Synechocystis
syn:slr0659	ec:3.4.24.70	Synechocystis
syn:slr0661	ec:1.5.1.2	Synechocystis
syn:slr0662	ec:4.1.1.19	Synechocystis
syn:slr0665	ec:4.2.1.3	Synechocystis
syn:slr0665	ec:4.2.1.99	Synechocystis
syn:slr0676	ec:2.7.1.25	Synechocystis
syn:slr0682	ec:1.1.1.23	Synechocystis
syn:slr0707	ec:2.7.7.7	Synechocystis
syn:slr0710	ec:1.4.1.4	Synechocystis
syn:slr0713	ec:2.4.2.29	Synechocystis
syn:slr0721	ec:1.1.1.38	Synechocystis
syn:slr0738	ec:4.1.3.27	Synechocystis
syn:slr0752	ec:4.2.1.11	Synechocystis
syn:slr0776	ec:2.3.1.191	Synechocystis
syn:slr0783	ec:5.3.1.1	Synechocystis
syn:slr0786	ec:3.4.11.18	Synechocystis
syn:slr0807	ec:2.3.1.234	Synechocystis
syn:slr0813	ec:2.4.1.80	Synechocystis
syn:slr0827	ec:5.1.1.1	Synechocystis
syn:slr0833	ec:3.6.4.12	Synechocystis
syn:slr0836	ec:4.2.1.46	Synechocystis
syn:slr0838	ec:6.3.3.1	Synechocystis
syn:slr0839	ec:4.99.1.1	Synechocystis
syn:slr0839	ec:4.99.1.9	Synechocystis
syn:slr0854	ec:4.1.99.3	Synechocystis
syn:slr0877	ec:6.3.5.6	Synechocystis
syn:slr0877	ec:6.3.5.7	Synechocystis
syn:slr0884	ec:1.2.1.12	Synechocystis
syn:slr0886	ec:1.1.1.100	Synechocystis
syn:slr0891	ec:3.5.1.28	Synechocystis
syn:slr0897	ec:3.2.1.4	Synechocystis
syn:slr0898	ec:1.7.7.1	Synechocystis
syn:slr0899	ec:4.2.1.104	Synechocystis
syn:slr0917	ec:2.3.1.47	Synechocystis
syn:slr0918	ec:3.4.11.18	Synechocystis
syn:slr0926	ec:2.5.1.39	Synechocystis
syn:slr0927	ec:1.10.3.9	Synechocystis
syn:slr0936	ec:2.4.2.19	Synechocystis
syn:slr0942	ec:1.1.1.2	Synechocystis
syn:slr0943	ec:4.1.2.13	Synechocystis
syn:slr0951	ec:2.7.7.60	Synechocystis
syn:slr0955	ec:2.1.1.185	Synechocystis
syn:slr0958	ec:6.1.1.16	Synechocystis
syn:slr0963	ec:1.8.7.1	Synechocystis
syn:slr0965	ec:2.7.7.7	Synechocystis
syn:slr0966	ec:4.2.1.20	Synechocystis
syn:slr0983	ec:2.7.7.33	Synechocystis
syn:slr0984	ec:4.2.1.45	Synechocystis
syn:slr0985	ec:5.1.3.13	Synechocystis
syn:slr1031	ec:6.1.1.1	Synechocystis
syn:slr1051	ec:1.3.1.9	Synechocystis
syn:slr1051	ec:1.3.1.10	Synechocystis
syn:slr1067	ec:5.1.3.2	Synechocystis
syn:slr1072	ec:4.2.1.47	Synechocystis
syn:slr1078	ec:5.1.3.2	Synechocystis
syn:slr1093	ec:2.7.6.3	Synechocystis
syn:slr1096	ec:1.8.1.4	Synechocystis
syn:slr1099	ec:2.5.1.129	Synechocystis
syn:slr1123	ec:2.7.4.8	Synechocystis
syn:slr1133	ec:4.3.2.1	Synechocystis
syn:slr1136	ec:7.1.1.9	Synechocystis
syn:slr1137	ec:7.1.1.9	Synechocystis
syn:slr1138	ec:7.1.1.9	Synechocystis
syn:slr1159	ec:6.3.4.13	Synechocystis
syn:slr1164	ec:1.17.4.1	Synechocystis
syn:slr1165	ec:2.7.7.4	Synechocystis
syn:slr1176	ec:2.7.7.27	Synechocystis
syn:slr1181	ec:1.10.3.9	Synechocystis
syn:slr1211	ec:6.6.1.2	Synechocystis
syn:slr1226	ec:6.3.2.6	Synechocystis
syn:slr1237	ec:3.5.4.1	Synechocystis
syn:slr1237	ec:3.5.4.21	Synechocystis
syn:slr1238	ec:6.3.2.3	Synechocystis
syn:slr1239	ec:1.6.1.2	Synechocystis
syn:slr1239	ec:7.1.1.1	Synechocystis
syn:slr1250	ec:7.3.2.1	Synechocystis
syn:slr1251	ec:5.2.1.8	Synechocystis
syn:slr1255	ec:2.5.1.32	Synechocystis
syn:slr1256	ec:3.5.1.5	Synechocystis
syn:slr1265	ec:2.7.7.6	Synechocystis
syn:slr1269	ec:2.3.2.2	Synechocystis
syn:slr1269	ec:3.4.19.13	Synechocystis
syn:slr1289	ec:1.1.1.42	Synechocystis
syn:slr1299	ec:1.1.1.22	Synechocystis
syn:slr1311	ec:1.10.3.9	Synechocystis
syn:slr1312	ec:4.1.1.19	Synechocystis
syn:sll0017	ec:5.4.3.8	Synechocystis
syn:sll0018	ec:4.1.2.13	Synechocystis
syn:sll0019	ec:1.1.1.267	Synechocystis
syn:sll0045	ec:2.4.1.14	Synechocystis
syn:sll0067	ec:2.5.1.18	Synechocystis
syn:sll0070	ec:3.5.1.10	Synechocystis
syn:sll0078	ec:6.1.1.3	Synechocystis
syn:sll0080	ec:1.2.1.38	Synechocystis
syn:sll0135	ec:2.4.2.28	Synechocystis
syn:sll0136	ec:3.4.11.9	Synechocystis
syn:sll0158	ec:2.4.1.18	Synechocystis
syn:sll0171	ec:2.1.2.10	Synechocystis
syn:sll0179	ec:6.1.1.17	Synechocystis
syn:sll0195	ec:3.4.21.53	Synechocystis
syn:sll0207	ec:2.7.7.24	Synechocystis
syn:sll0220	ec:2.6.1.16	Synechocystis
syn:sll0240	ec:7.2.2.7	Synechocystis
syn:sll0244	ec:5.1.3.2	Synechocystis
syn:sll0290	ec:2.7.4.1	Synechocystis
syn:sll0300	ec:2.5.1.9	Synechocystis
syn:sll0329	ec:1.1.1.44	Synechocystis
syn:sll0329	ec:1.1.1.343	Synechocystis
syn:sll0336	ec:6.4.1.2	Synechocystis
syn:sll0336	ec:2.1.3.15	Synechocystis
syn:sll0356	ec:5.3.1.24	Synechocystis
syn:sll0362	ec:6.1.1.7	Synechocystis
syn:sll0370	ec:6.3.5.5	Synechocystis
syn:sll0373	ec:1.2.1.41	Synechocystis
syn:sll0379	ec:2.3.1.129	Synechocystis
syn:sll0398	ec:3.1.5.1	Synechocystis
syn:sll0404	ec:1.1.3.15	Synechocystis
syn:sll0409	ec:4.2.1.113	Synechocystis
syn:sll0420	ec:3.5.1.5	Synechocystis
syn:sll0421	ec:4.3.2.2	Synechocystis
syn:sll0422	ec:3.5.1.1	Synechocystis
syn:sll0454	ec:6.1.1.20	Synechocystis
syn:sll0455	ec:1.1.1.3	Synechocystis
syn:sll0461	ec:1.2.1.41	Synechocystis
syn:sll0469	ec:2.7.6.1	Synechocystis
syn:sll0495	ec:6.1.1.22	Synechocystis
syn:sll0502	ec:6.1.1.19	Synechocystis
syn:sll0504	ec:4.1.1.20	Synechocystis
syn:sll0506	ec:2.5.1.31	Synechocystis
syn:sll0534	ec:3.4.21.92	Synechocystis
syn:sll0542	ec:6.2.1.1	Synechocystis
syn:sll0711	ec:2.7.1.148	Synechocystis
syn:sll0262	ec:1.14.19.3	Synechocystis
syn:sll1890	ec:6.6.1.2	Synechocystis
syn:sll1893	ec:4.3.2.10	Synechocystis
syn:sll1908	ec:1.1.1.95	Synechocystis
syn:sll1908	ec:1.1.1.399	Synechocystis
syn:sll1916	ec:2.7.7.18	Synechocystis
syn:sll1931	ec:2.1.2.1	Synechocystis
syn:sll1941	ec:5.6.2.2	Synechocystis
syn:sll1958	ec:2.6.1.9	Synechocystis
syn:sll1969	ec:3.1.1.3	Synechocystis
syn:sll1994	ec:4.2.1.24	Synechocystis
syn:sll2001	ec:3.4.11.1	Synechocystis
syn:sll2005	ec:5.6.2.2	Synechocystis
syn:sll2010	ec:6.3.2.9	Synechocystis
syn:slr0009	ec:4.1.1.39	Synechocystis
syn:slr0012	ec:4.1.1.39	Synechocystis
syn:slr0015	ec:2.4.1.182	Synechocystis
syn:slr0017	ec:2.5.1.7	Synechocystis
syn:slr0018	ec:4.2.1.2	Synechocystis
syn:slr0032	ec:2.6.1.42	Synechocystis
syn:slr0033	ec:6.3.5.6	Synechocystis
syn:slr0033	ec:6.3.5.7	Synechocystis
syn:slr0051	ec:4.2.1.1	Synechocystis
syn:slr0054	ec:2.7.1.107	Synechocystis
syn:slr0055	ec:4.1.3.27	Synechocystis
syn:slr0070	ec:2.1.2.9	Synechocystis
syn:slr0084	ec:4.3.2.10	Synechocystis
syn:slr0090	ec:1.13.11.27	Synechocystis
syn:slr0091	ec:1.2.1.3	Synechocystis
syn:slr0118	ec:4.1.99.17	Synechocystis
syn:slr0164	ec:3.4.21.92	Synechocystis
syn:slr0165	ec:3.4.21.92	Synechocystis
syn:slr0185	ec:2.4.2.10	Synechocystis
syn:slr0194	ec:5.3.1.6	Synechocystis
syn:slr0212	ec:2.1.1.13	Synechocystis
syn:slr0213	ec:6.3.5.2	Synechocystis
syn:slr0216	ec:2.7.1.156	Synechocystis
syn:slr0216	ec:2.7.7.62	Synechocystis
syn:slr0220	ec:6.1.1.14	Synechocystis
syn:slr0229	ec:1.1.1.31	Synechocystis
syn:slr0288	ec:6.3.1.2	Synechocystis
syn:slr0301	ec:2.7.9.2	Synechocystis
syn:slr0311	ec:2.7.13.3	Synechocystis
syn:slr0314	ec:1.11.1.10	Synechocystis
syn:slr0323	ec:3.2.1.24	Synechocystis
syn:slr0328	ec:3.1.3.48	Synechocystis
syn:slr0357	ec:6.1.1.21	Synechocystis
syn:slr0370	ec:1.2.1.16	Synechocystis
syn:slr0370	ec:1.2.1.79	Synechocystis
syn:slr0370	ec:1.2.1.20	Synechocystis
syn:slr0379	ec:2.7.4.9	Synechocystis
syn:slr0381	ec:4.4.1.5	Synechocystis
syn:slr0394	ec:2.7.2.3	Synechocystis
syn:slr0400	ec:2.7.1.23	Synechocystis
syn:slr0406	ec:3.5.2.3	Synechocystis
syn:slr0417	ec:5.6.2.2	Synechocystis
syn:slr0426	ec:3.5.4.16	Synechocystis
syn:slr0444	ec:2.5.1.19	Synechocystis
syn:slr0452	ec:4.2.1.9	Synechocystis
syn:slr0492	ec:6.2.1.26	Synechocystis
syn:sll0757	ec:2.4.2.14	Synechocystis
syn:sll0807	ec:5.1.3.1	Synechocystis
syn:sll0813	ec:7.1.1.9	Synechocystis
syn:sll0817	ec:2.5.1.75	Synechocystis
syn:sll0828	ec:3.5.1.4	Synechocystis
syn:sll0838	ec:4.1.1.23	Synechocystis
syn:sll0844	ec:2.8.1.13	Synechocystis
syn:sll0849	ec:1.10.3.9	Synechocystis
syn:sll0869	ec:2.3.2.6	Synechocystis
syn:sll0892	ec:4.1.1.11	Synechocystis
syn:sll0900	ec:2.4.2.17	Synechocystis
syn:sll0901	ec:5.4.99.18	Synechocystis
syn:sll0902	ec:2.1.3.3	Synechocystis
syn:sll0920	ec:4.1.1.31	Synechocystis
syn:sll0927	ec:2.5.1.6	Synechocystis
syn:sll0936	ec:4.1.1.98	Synechocystis
syn:slr2035	ec:2.7.2.11	Synechocystis
syn:slr2058	ec:5.6.2.1	Synechocystis
